Unnamed: 0,Ticker,Quarter,Date,Total_Words,Sum,Mean,Median,Std,%Positive,%Negative,%Neutral,Flesch score,Polysyllable number per sentence
229,ACN,2012Q2,2012-03-22,5218,932.0,0.1786124952088923,0.0,0.6206362948445063,10.73208125718666,1.3798390187811422,87.88807972403221,46.39,3.22
279,ACN,2012Q3,2012-06-28,6002,990.0,0.16494501832722425,0.0,0.5992141206465897,10.029990003332225,1.1996001332889037,88.77040986337887,65.78,1.94
325,ACN,2012Q4,2012-09-27,6235,1013.0,0.1624699278267843,0.0,0.5804562114373094,9.655172413793103,0.8500400962309542,89.49478748997595,69.45,1.69
370,ACN,2013Q1,2012-12-19,5758,988.0,0.17158735672108372,0.0,0.5988338635231545,10.263980548801667,0.9551927752691908,88.78082667592916,66.42,1.93
422,ACN,2013Q2,2013-03-28,6238,1117.0,0.17906380250080153,0.0,0.6219987400927897,10.516191086886822,1.090092978518756,88.39371593459444,66.52,1.91
464,ACN,2013Q3,2013-06-27,6167,1025.0,0.16620723204151128,0.0,0.6063023938533746,10.199448678449812,1.3134425166207229,88.48710880492945,100.74,1.58
515,ACN,2013Q4,2013-09-26,6110,1108.0,0.181342062193126,0.0,0.602427700971404,10.801963993453352,0.9819967266775778,88.21603927986907,65.03,1.99
560,ACN,2014Q1,2013-12-19,5680,975.0,0.17165492957746478,0.0,0.5916059608392621,9.94718309859155,0.7394366197183099,89.31338028169012,66.66,1.82
607,ACN,2014Q2,2014-03-27,6598,1180.0,0.1788420733555623,0.0,0.5974741378296119,10.563807214307367,0.9699909063352532,88.46620187935737,99.01,2.46
654,ACN,2014Q3,2014-06-26,5928,1226.0,0.2068151147098516,0.0,0.641414818471446,11.673414304993253,0.7422402159244265,87.58434547908233,38.49,5.6
700,ACN,2014Q4,2014-09-24,5781,1048.0,0.1812835149628092,0.0,0.6093298372591208,10.672893962982183,0.7438159487977858,88.58329008822004,43.56,4.69
